"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.01592502801887e-118,5.1024493450973,0.302,0.029,5.06581800290863e-114,"7","Crabp1"
1.00268963363977e-138,4.91564023341321,0.327,0.02,2.51965878037337e-134,"7","Mex3a"
0,4.86147841667794,0.839,0.099,0,"7","Tubb2b"
6.82622169825623e-231,11.2336093813868,0.436,0.003,1.71536125055481e-226,"8","Retnlg"
0,11.0439252922434,0.91,0.015,0,"8","S100a8"
0,10.9687716827881,0.919,0.018,0,"8","S100a9"
4.98149257463706e-176,9.98584923114057,0.346,0.002,1.25179926908055e-171,"8","Wfdc21"
0,9.54324591067965,0.757,0.004,0,"8","Cxcr2"
0,7.74572048078357,0.631,0.008,0,"8","Mmp9"
0,7.21284883651731,0.679,0.017,0,"8","Trem1"
1.42918582424865e-191,6.81386576763765,0.402,0.016,3.59140105775444e-187,"8","Acod1"
3.39940192258742e-179,6.64112734552655,0.401,0.033,8.54235709126992e-175,"8","Lcn2"
2.85902049141664e-263,6.55448271212142,0.497,0.021,7.18443259288087e-259,"8","Clec4d"
0,6.86173317082253,0.756,0.016,0,"9","Ifi205"
8.73309723983898e-264,6.17417139390846,0.487,0.01,2.19454000539914e-259,"9","Cxcl9"
0,5.45356791568744,0.598,0.018,0,"9","Cd40"
0,5.4433253573976,0.927,0.075,0,"9","Ms4a4c"
2.06111063833967e-195,5.36012531058158,0.415,0.015,5.17936492308375e-191,"9","Ly6i"
9.81731051672053e-274,5.35399515270809,0.545,0.017,2.4669919597467e-269,"9","Slamf8"
0,5.18544907201889,0.639,0.036,0,"9","Calhm6"
6.06417708445001e-268,5.14538848081142,0.531,0.021,1.52386705955144e-263,"9","Phf11a"
9.55611739163803e-124,5.12159987552945,0.277,0.01,2.40135673934472e-119,"9","Dnase1l3"
0,5.07046351587375,0.836,0.051,0,"9","Ifi211"
1.0957803324625e-146,11.1739570131121,0.294,0,2.75358639744502e-142,"10","Gpihbp1"
0,10.0782898836731,0.74,0.002,0,"10","Emcn"
0,10.0718561585722,0.88,0.003,0,"10","Ptprb"
0,9.95771875435249,0.601,0.001,0,"10","Tie1"
7.30396390892599e-159,9.94454669271661,0.306,0.001,1.83541309067401e-154,"10","Slco1a4"
0,9.91034731010702,0.551,0.001,0,"10","Myct1"
4.59320105394916e-286,9.89950803495631,0.499,0.001,1.15422549284688e-281,"10","Sox17"
3.8055729227714e-292,9.80819507514119,0.516,0.001,9.56302419763224e-288,"10","Sox18"
2.53187520882233e-225,9.72831780372253,0.415,0.001,6.36234921224964e-221,"10","Robo4"
1.64155661854149e-141,9.72193014621155,0.279,0.001,4.1250676267329e-137,"10","Sele"
9.71133176369943e-178,8.51223534851905,0.339,0.001,2.44036055890003e-173,"11","Car10"
0,7.79838349837447,0.68,0.006,0,"11","Abca4"
0,7.56636100457787,0.835,0.013,0,"11","Nrcam"
0,5.73448422284271,0.62,0.018,0,"11","Vit"
1.57189973458858e-304,5.54836988053231,0.552,0.018,3.95002684304763e-300,"11","Slc47a1"
